enigma_index,enigma_label,hemisphere,aparc_region,adni_tau_column,status
58,R_rostralanteriorcingulate,right,rostralanteriorcingulate,CTX_RH_ROSTRALANTERIORCINGULATE_SUVR,matched
59,R_rostralmiddlefrontal,right,rostralmiddlefrontal,CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR,matched
60,R_superiorfrontal,right,superiorfrontal,CTX_RH_SUPERIORFRONTAL_SUVR,matched
61,R_superiorparietal,right,superiorparietal,CTX_RH_SUPERIORPARIETAL_SUVR,matched
62,R_superiortemporal,right,superiortemporal,CTX_RH_SUPERIORTEMPORAL_SUVR,matched
63,R_supramarginal,right,supramarginal,CTX_RH_SUPRAMARGINAL_SUVR,matched
64,R_frontalpole,right,frontalpole,CTX_RH_FRONTALPOLE_SUVR,matched
65,R_temporalpole,right,temporalpole,CTX_RH_TEMPORALPOLE_SUVR,matched
66,R_transversetemporal,right,transversetemporal,CTX_RH_TRANSVERSETEMPORAL_SUVR,matched
67,R_insula,right,insula,CTX_RH_INSULA_SUVR,matched
